,Area,Domain,Element,Item,Unit,Year,Value
0,World,Crops,Production,"Cereals, Total",tonnes,2019,2979
1,World,Crops,Production,"Citrus Fruit, Total",tonnes,2019,158
2,World,Crops,Production,Fibre Crops Primary,tonnes,2019,6
3,World,Crops,Production,Fruit Primary,tonnes,2019,883
4,World,Crops,Production,Oilcrops,tonnes,2019,1101
5,World,Crops,Production,"Pulses, Total",tonnes,2019,88
6,World,Crops,Production,"Roots and Tubers, Total",tonnes,2019,861
7,World,Crops,Production,Sugar Crops Primary,tonnes,2019,2229
8,World,Crops,Production,"Treenuts, Total",tonnes,2019,17
9,World,Crops,Production,Vegetables Primary,tonnes,2019,1130
