"year","bakery_product_purchased_in_millions","cereal_purchased_in_millions"
"2001","474644","218986"
"2002","746926","324951"
"2003","767396","345337"
"2004","780338","364718"
"2005","813572","389936"
"2006","842445","417523"
"2007","875345","445598"
"2008","921928","483057"
"2009","1069662","502883"
"2010","906860","506253"
"2011","956957","531077"
"2012","966783","559166"
"2013","971443","574536"
"2014","993652","586165"
"2015","1013914","597422"
"2016","1030415","606300"
"2017","1054086","622316"
"2018","1099840","640198"
"2019","1118841","659339"
